,AAPL,ABBV,ABT,ACN,AIG,AMZN,AXP,BA,BAC,BIIB,BK,BLK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,GM,GOOG,JPM,KMI,KO,LLY,LMT,MO,MON,MRK,MS,MSFT,NEE,NKE,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RY.TO,SBUX,SLB,SO,SPG,T,TD.TO,TGT,TXN,UNH,UNP,UPS,USB,^GSPC
BK,0.5769810387607763,0.33986230330696293,0.6056526766227931,0.6438435758529955,0.694990349527573,0.5221308440975772,0.6736067834512602,0.531309863833789,0.7917707991259825,0.30653277842731064,1.0,0.6979303637896859,0.29714952770156755,0.7534396646770898,0.5555707194203442,0.3346713035002113,0.47398072591469337,0.7043294218309599,0.2898702568596007,0.41244766586455905,0.5088576994800201,0.5029648076892126,0.6347772661798351,0.5576515745281105,0.7711916041686787,0.4403569541769224,0.42719417524590825,0.30324902750772975,0.13511333817893514,0.26035721369817877,0.034324549634753045,0.30859727498377226,0.7555650206372263,0.5497824412092311,0.3577128837813671,0.5421966782155179,0.5420968171166742,0.19677882096288965,0.38318893704168105,0.38705028463016844,0.3430986789709493,0.3605429099847536,0.5075013628807138,0.5402551894134865,0.6141883487504136,0.5358429863187957,0.32502263194603986,0.3506076620347321,0.6306251751859531,0.3785497052178716,0.6147110636715115,0.41671635823367564,0.5490590003095134,0.4409190966631638,0.5012837842695294,0.5677990512074781,0.7778545207312988,0.7345158911028088
BLK,0.7441683342046528,0.3186893341654527,0.6662424492394231,0.789162153915149,0.6353622006003352,0.6639897061819524,0.7147194718727717,0.5915622482045801,0.7282788352373266,0.32112639974871166,0.6979303637896859,1.0,0.23056256820458762,0.6842067982874753,0.4934071490072254,0.436442842155466,0.5247003338643431,0.721131770635827,0.3058965068723613,0.6110327872659177,0.6197902392378906,0.42629794666863907,0.6817869440757602,0.6838945263290925,0.7345641568429939,0.4385978403738638,0.5363694510898408,0.3336354788997522,0.23399658703850815,0.2799674974346301,0.1023578542615899,0.2469060843218911,0.7524733886903555,0.7426339629287037,0.5199195010244111,0.6891971473129447,0.5637156668614235,0.21005146093383706,0.5177971777840145,0.4240714226714769,0.4721834565150295,0.404586498654606,0.6193772584749253,0.6281635879446997,0.5730499931432096,0.66581062368628,0.27178620737926273,0.42411421358883505,0.6961751624792425,0.39493464449955024,0.5668796997875657,0.5265980812593897,0.6817517397833835,0.4460665859611919,0.5954753178791602,0.6143149144220048,0.6211830848887905,0.8619851294290815
BMY,0.26373049888123007,0.501973958108842,0.3947336171551048,0.3074102641162517,0.345938826938695,0.14137996590600152,0.2599576127570526,0.08599975356791319,0.2759120877156552,0.32951874913491713,0.29714952770156755,0.23056256820458762,1.0,0.28420915751108433,0.18447724164853438,0.3759593174913213,0.22719100930821032,0.2542794813893038,0.2093995551801786,0.26321197381343336,0.34246631590447635,0.40752214286519106,0.16366421192073893,0.164428562444757,0.30071733091761915,0.2886991268585432,0.3578677019146326,0.5538587285750542,0.2878881003097812,0.3006496078163687,0.0786947270584008,0.6390253709855205,0.29148857289159413,0.24741795544177958,0.20618535692625617,0.15183452520412039,0.29022492492500956,0.1242728381516029,0.38798420670458234,0.517873531389358,0.36241331630366813,0.3348609853726577,0.12392457986688128,0.11119550900912133,0.1930388374893813,0.119274102728052,0.12503462455402226,0.3140257623160651,0.2521160076407921,0.29261482171340397,0.2490722769553389,0.19401682014105198,0.16548793537868478,0.5070349837181659,0.22549165707122137,0.14552038242699403,0.3153487920571386,0.33860366199266306
C,0.570104670663596,0.2950556538505185,0.5685234331576673,0.5743706888811932,0.6790697453420548,0.503982880415417,0.6680796251452857,0.5344647342692415,0.8256927058723657,0.29467542689265114,0.7534396646770898,0.6842067982874753,0.28420915751108433,1.0,0.5344570784099737,0.2947684866330505,0.4859578961809206,0.7328922962174277,0.3866053454828209,0.3765292007673195,0.47689674702235313,0.41971403848830285,0.655708922480063,0.5194450418561705,0.814841048086807,0.47280311533826985,0.4222162943303446,0.2359390798528369,0.12611474179413804,0.3397503866967948,0.08773017097546418,0.2239883141891737,0.7966241563854981,0.5411412060890813,0.2625296721332044,0.5458428565968139,0.4978302171055867,0.28712903364268744,0.3820127337030585,0.34422688785870303,0.3270686109245776,0.40522476159184884,0.5035190591553391,0.506476079836011,0.5625053481597985,0.4995809272604332,0.3714120272617355,0.286931977557715,0.6046197342290353,0.37020595770036924,0.6059613314870929,0.41225093016321934,0.5192691913157829,0.41350989031129054,0.5176754912139111,0.5219684015369079,0.742143527815044,0.6986929940840605
CAT,0.37423767169602606,0.1959589828682243,0.31739909284756307,0.44454100636598703,0.6125854622333005,0.3400860237004292,0.5183346407460406,0.48995203840314155,0.5442582696776432,0.24403669400554612,0.5555707194203442,0.4934071490072254,0.18447724164853438,0.5344570784099737,1.0,0.1913890411834802,0.3301003712435818,0.5380865370882569,0.5414347470035588,0.3367363614945519,0.36163307286314794,0.29631740276334656,0.5626898509735102,0.378909814085209,0.5438159303651595,0.6007186152860216,0.30515872785792547,0.21802944322231665,0.2328893381780773,0.33615035535888876,0.07833967803955831,0.22215317715021354,0.5397810623472946,0.375833136297257,0.2838427721720983,0.48800489705504607,0.4243338357845038,0.3966538052978644,0.25090591476313817,0.2789321078904396,0.1262909415486828,0.29172017739826356,0.2812288840110831,0.38044600996352523,0.5366619417440813,0.3359617428689135,0.5427204423564542,0.2753267399216971,0.5158574545144144,0.27137326621917757,0.5136701097927083,0.32917903846868835,0.47011599568091467,0.24998626359122095,0.5453522707875992,0.4293611340852103,0.52050385950337,0.554054370319229
CL,0.38602354194829847,0.46249127659292855,0.52594459071957,0.4586249071382075,0.34978230794065085,0.23658249345730994,0.27628520291272224,0.15592062811565907,0.3333649420252437,0.21226797958573868,0.3346713035002113,0.436442842155466,0.3759593174913213,0.2947684866330505,0.1913890411834802,1.0,0.38266244293042107,0.26960786913430623,0.06840130843448647,0.49344275877325416,0.44753687938050885,0.4942040886567315,0.25629011055731943,0.2691329233964202,0.3674662138990824,0.2653195852035512,0.7567367178544835,0.3669184172637993,0.30336963683648566,0.37080794342000734,-0.04266003775798543,0.44782162605787706,0.31963772167708177,0.33019287166137357,0.4101191682418192,0.3419839912349986,0.28324537656498966,0.06071921756054631,0.7367189426690451,0.4447794772759795,0.7734491902905043,0.49769580924519297,0.13416108322830905,0.23971115049093294,0.31075125473416754,0.335369283547387,0.047251839450584227,0.5907127006583125,0.29595872230164094,0.36796744225493094,0.32369245324367985,0.37640584380640246,0.29976801579498075,0.48596510857290387,0.4236831607167722,0.3513778167623564,0.3939607942307166,0.45202713019118956
CMCSA,0.5070471247420715,0.42435829549216086,0.5588187361182462,0.5333082826548489,0.4541572181160186,0.4349700827355407,0.4950343014552188,0.36787099394350936,0.4701415440800125,0.37712196372313367,0.47398072591469337,0.5247003338643431,0.22719100930821032,0.4859578961809206,0.3301003712435818,0.38266244293042107,1.0,0.4997536867043644,0.1520404268434429,0.36339721694227123,0.411005391144614,0.3842486422013229,0.42864373665796157,0.48376112870240984,0.4753378444787885,0.3309997403881657,0.4136331972787998,0.29045997080371794,0.13422306772976494,0.20755928236930188,0.01610697428994642,0.2318599146450809,0.4720199453952229,0.49959016698190933,0.32085015791697996,0.43755373464358205,0.4100685505603423,0.1412331686118717,0.42433011086097855,0.34138305373264954,0.3855952694792741,0.34741994126525805,0.4191622922693507,0.4843770533746007,0.3700666064301804,0.44610188436561815,0.1870867805645315,0.32267533954205907,0.44652742574993026,0.41577706179660967,0.3667696237433062,0.338957268212929,0.4746564621740301,0.3213355827747036,0.3292997988376855,0.3659157969473951,0.5341598898610531,0.6051631788176246
COF,0.6368058401977167,0.21913235608052112,0.5756363196212684,0.6457369774934897,0.7021976201243473,0.5755459395694612,0.8132524986732516,0.6228503746024827,0.7554558326319085,0.33880796976049943,0.7043294218309599,0.721131770635827,0.2542794813893038,0.7328922962174277,0.5380865370882569,0.26960786913430623,0.4997536867043644,1.0,0.28861321800686696,0.4033029320347823,0.5478083760049449,0.3368000555788733,0.6687881793260759,0.6012362100138049,0.7195672740067571,0.4189140819432377,0.4538797442385788,0.26060052945371354,0.14472726099448122,0.32862277855260014,0.07239441996408229,0.19696740792634002,0.7283046546856942,0.5755706121729144,0.32607033100239124,0.6074074319699131,0.4912295194498964,0.25761158805066464,0.39553855533846205,0.2953239198930852,0.3312328335981628,0.39951327185002844,0.5751747456302226,0.5728350257680395,0.5717383203548471,0.5589027504776063,0.253159077472274,0.26694780204637836,0.6742846362937017,0.44259746294145597,0.6148706481152502,0.45864148194669063,0.5727909349673695,0.35158087202572164,0.4902105363738514,0.5273077206733259,0.710709216051715,0.7485281191576183
COP,0.24722241529658764,0.19756039680988527,0.17539402803066254,0.23153848766124568,0.40903248000913905,0.2393796103721666,0.3026713923133673,0.24608181225456616,0.3461964277008763,0.1729703725918624,0.2898702568596007,0.3058965068723613,0.2093995551801786,0.3866053454828209,0.5414347470035588,0.06840130843448647,0.1520404268434429,0.28861321800686696,1.0,0.19908663518957723,0.24106298116762206,0.2709146451449853,0.28811581121341484,0.19615952112345905,0.3041356833344739,0.7661231411897534,0.2155572679864585,0.19839853791803344,0.43185718764585457,0.37890731613995415,0.07478690151437566,0.17928123766735418,0.37355022113043096,0.22791862144997374,0.1761686561821015,0.24621522864937362,0.1983326912696294,0.7365635170801852,0.16666341980893412,0.21679532952833838,0.0853737784715509,0.1932975898466677,0.1574994138008479,0.24641427737523136,0.34686475345183476,0.15791336816198606,0.7569168249103785,0.297524101332943,0.2790787099948214,0.20756037992912404,0.36375316487937903,0.24503787153998052,0.24267983976075028,0.2530125807973912,0.3407037681709967,0.25512280886489136,0.27086058909438937,0.37752083215969173
COST,0.6477306919408251,0.30132072019719586,0.5481176188492659,0.6552419138807546,0.3727109830807775,0.5626032115567985,0.46731854628363806,0.4181584503312815,0.3935859324413769,0.30626019688638256,0.41244766586455905,0.6110327872659177,0.26321197381343336,0.3765292007673195,0.3367363614945519,0.49344275877325416,0.36339721694227123,0.4033029320347823,0.19908663518957723,1.0,0.5592846637349316,0.4218412408323437,0.4870618782291832,0.5703545424316828,0.41163595341818005,0.3014099822062445,0.5762645912695944,0.36996502721481456,0.2615550880524613,0.2526782406934589,0.17307175829123117,0.20399567749661016,0.48627077906998917,0.621693440338182,0.5322854844992672,0.5914448227439323,0.5374794667672683,0.18338466503081868,0.6016994585701816,0.3460987305547933,0.5513008488142953,0.28054914920590995,0.38482491673614116,0.5181181144947739,0.25614642315957575,0.5168450906599014,0.15007866587747903,0.3919894865943628,0.4996809137400082,0.22051787992497826,0.27813034073298804,0.7044365894556984,0.5663594934177474,0.5002395105611964,0.48156647236634714,0.5537419975720378,0.33006873514549284,0.716250853763174
